baseline_id,structure,structural_deviation,source_term,source_partition
SB0214,renal glomerular filtration-barrier albumin-retention structure,detectable presence of the named material/state where the reference condition is absent or lower,Albumin urine present,established_478
SB0215,renal glomerular filtration-barrier albumin-retention structure,abnormal passage of albumin into urine indicating increased filtration-barrier permeability or impaired tubular recovery,Albuminuria,established_478
SB0216,central reward-control and ethanol-exposure structure,persistent reward-driven substance-use behavior overriding normal exposure-control regulation,Alcohol abuse,established_478
SB0217,mesolimbic reward-drive structure,excess motivational salience directed toward acquisition or intake of a specific substance or behavior,Alcohol craving,established_478
SB0218,hepatic ethanol-metabolism and systemic ethanol-response structure,departure from the reference structural configuration or regulated functional range,Alcohol intolerance,established_478
SB0219,central neural ethanol-response structure,chemical burden exceeding or altering the reference exposure-clearance state,Alcohol intoxication,established_478
SB0220,whole-body ethanol toxic-exposure structure,"altered configuration or regulated output of the named structure, expressed as the state described by alcohol poisoning",Alcohol poisoning,established_478
SB0221,central reward-control and ethanol-dependence structure,"altered configuration or regulated output of the named structure, expressed as the state described by alcohol problem",Alcohol problem,established_478
SB0222,central inhibitory-excitatory adaptation structure,departure from the reference structural configuration or regulated functional range,Alcohol withdrawal syndrome,established_478
SB0223,central reward-control and ethanol-dependence structure,persistent reward-driven substance-use behavior overriding normal exposure-control regulation,Alcoholism,established_478
SB0224,ascending arousal and cortical-consciousness structure,measured or functional quantity shifted below its reference structural range,Alertness decreased,established_478
SB0225,hepatobiliary and bone alkaline-phosphatase production/release structure,measured or functional quantity shifted above its reference structural range,Alkaline phosphatase serum increased,established_478
SB0226,extracellular-fluid hydrogen-ion and bicarbonate balance structure,hydrogen-ion activity below the reference range with elevated extracellular-fluid pH,Alkalosis,established_478
SB0227,extracellular-fluid hydrogen-ion and bicarbonate balance structure,hydrogen-ion activity below the reference range with elevated extracellular-fluid pH,Alkalosis hypochloraemic,established_478
SB0228,extracellular-fluid hydrogen-ion and bicarbonate balance structure,hydrogen-ion activity below the reference range with elevated extracellular-fluid pH,Alkalosis hypokalaemic,established_478
SB0229,bronchial smooth-muscle tone and airway-lumen structure,"exaggerated immune-recognition/effector activation causing barrier, vascular, or smooth-muscle perturbation",Allergic bronchospasm,established_478
SB0230,cutaneous immune-histamine structure,"localized or systemic inflammatory activation with altered barrier, vascular, and cellular organization",Allergic contact dermatitis,established_478
SB0231,vascular-wall endothelial and inflammatory integrity structure,"exaggerated immune-recognition/effector activation causing barrier, vascular, or smooth-muscle perturbation",Allergic cutaneous angiitis,established_478
SB0232,cutaneous immune-histamine structure,"exaggerated immune-recognition/effector activation causing barrier, vascular, or smooth-muscle perturbation",Allergic exanthema,established_478
SB0233,vascular-wall endothelial and inflammatory integrity structure,"exaggerated immune-recognition/effector activation causing barrier, vascular, or smooth-muscle perturbation",Allergic granulomatous angiitis,established_478
SB0234,hepatocyte immune-inflammatory and metabolic integrity structure,"localized or systemic inflammatory activation with altered barrier, vascular, and cellular organization",Allergic hepatitis,established_478
SB0235,interstitial-fluid and microvascular-permeability structure,"excess fluid accumulation within interstitial, tissue, or cavity compartments",Allergic oedema,established_478
SB0236,cutaneous immune-histamine structure,"exaggerated immune-recognition/effector activation causing barrier, vascular, or smooth-muscle perturbation",Allergic rash,established_478
SB0237,sinonasal mucosal immune-histamine structure,"exaggerated immune-recognition/effector activation causing barrier, vascular, or smooth-muscle perturbation",Allergic sinusitis,established_478
